id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran
TRX0042,2026-08-11,Roti Bakar,Makanan,9,7000,Pak Agus,Tunai
TRX0005,2026-08-03,Gorengan,makanan,2,2000,Bu Sri,QRIS
TRX0011,2026-08-04,Jus Alpukat,Minuman,4,,Bu Wati,Tunai
TRX0035,2026-08-10,Mie Ayam,Makanan,,10000,Pak Joko,Transfer
TRX0007,2026-08-03,Kerupuk,Snack,10,Rp2.000,Bu Wati,Transfer
TRX0045,2026-08-11,Teh Botol,Minuman,9,5000,Pak Joko,QRIS
TRX0061,14 Agustus 2026,Teh Botol,MINUMAN,14,5000,Bu Sri,QRIS
TRX0008,4 Agustus 2026,Mie Ayam,makanan,14,10000,Pak Joko,Tunai
TRX0031,7 Agustus 2026,Nasi Goreng,makanan,,12000,Pak Agus,Tunai
TRX0057,13/08/2026,Jus Alpukat,MINUMAN,14,8000,Bu Sri,Tunai
TRX0017,2026-08-05,Es Jeruk,Minuman,1,4000,Bu Wati,Transfer
TRX0052,2026-08-12,Roti Bakar,Makanan,3,7000,Bu Wati,Tunai
TRX0047,2026-08-12,Teh Botol,MINUMAN,12 pcs,5000,Pak Joko,QRIS
TRX0015,5 Agustus 2026,Kerupuk,Snack,7,2000,Bu Sri,QRIS
TRX0048,2026-08-12,Keripik Singkong,snack,15,Rp3.000,Bu Wati,QRIS
TRX0004,03/08/2026,Nasi Goreng,makanan,13,Rp12.000,Pak Joko,QRIS
TRX0054,13 Agustus 2026,Jus Alpukat,Minuman,15,8000,Pak Joko,Tunai
TRX0014,2026-08-05,Bakso,Makanan,9,Rp11.000,Pak Agus,Tunai
TRX0026,7 Agustus 2026,Teh Botol,MINUMAN,8,Rp5.000,Pak Joko,QRIS
TRX0034,2026-08-10,Bakso,Makanan,1,11000,Bu Sri,QRIS
TRX0046,2026-08-11,Nasi Goreng,Makanan,15,12000,Bu Wati,QRIS
TRX0003,3 Agustus 2026,Nasi Goreng,MAKANAN,9,12000,Pak Joko,Transfer
TRX0025,6 Agustus 2026,Mie Ayam,MAKANAN,9,10000,Pak Joko,Tunai
TRX0019,2026-08-06,Nasi Goreng,Makanan,10,12000,Bu Wati,QRIS
TRX0012,4 Agustus 2026,Mie Ayam,Makanan,4,10000,Bu Wati,QRIS
TRX0032,2026-08-07,Roti Bakar,makanan,7 pcs,Rp7.000,Pak Agus,QRIS
TRX0059,14/08/2026,Bakso,Makanan,11,11000,Bu Sri,Tunai
TRX0055,13/08/2026,Teh Botol,Minuman,6,5000,Bu Sri,Tunai
TRX0043,11/08/2026,Nasi Goreng,MAKANAN,1,,Bu Wati,QRIS
TRX0029,2026-08-07,Nasi Uduk,Makanan,14,8000,Bu Sri,QRIS
TRX0051,12 Agustus 2026,Mie Ayam,makanan,13 pcs,10000,Bu Wati,Tunai
TRX0060,2026-08-14,Kerupuk,Snack,5,Rp2.000,Pak Joko,QRIS
TRX0006,2026-08-03,Nasi Goreng,Makanan,12,Rp12.000,Pak Agus,Transfer
TRX0027,2026-08-07,Gorengan,Makanan,7,Rp2.000,Pak Agus,QRIS
TRX0023,06/08/2026,Mie Ayam,Makanan,4,10000,Pak Joko,Tunai
TRX0020,2026-08-06,Roti Bakar,Makanan,4,7000,,QRIS
TRX0062,2026-08-14,Es Teh,Minuman,4,Rp3.000,Pak Joko,Tunai
TRX0022,6 Agustus 2026,Es Teh,minuman,4,3000,Pak Joko,Tunai
TRX0033,2026-08-10,Jus Alpukat,Minuman,1,8000,Bu Wati,Tunai
TRX0010,4 Agustus 2026,Keripik Singkong,snack,,3000,Pak Joko,QRIS
